task,train_pct,n_runs,best_seed,seeds,accuracy_MEAN,accuracy_STD,accuracy_mm_MEAN,accuracy_mm_STD,pearson_MEAN,pearson_STD,spearmanr_MEAN,spearmanr_STD,matthews_correlation_MEAN,matthews_correlation_STD,f1_MEAN,f1_STD
rte,100,2,4,"[4, 5]",0.7472924187725631,0.00510546412409059,,,,,,,,,,
mrpc,100,10,5,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.8526960784313726,0.013692868953343467,,,,,,,,,0.8932600842224128,0.011828713989412347
copa,10,5,3,"[2, 4, 3, 0, 1]",0.508,0.10059821071967434,,,,,,,,,,
copa,25,5,3,"[2, 4, 3, 0, 1]",0.506,0.10014988766843426,,,,,,,,,,
copa,50,5,2,"[2, 4, 3, 0, 1]",0.5359999999999999,0.12177848742696716,,,,,,,,,,
copa,100,10,8,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.624,0.043256341860022245,,,,,,,,,,
